Nota,Resposta,Perfil
9,Pelo bom desenvolvimento do sistema e de fácil utilização.,Promoters
10,muito bom,Promoters
10,GOSTEI . FICOU MAIS PRATICO A ELABORAÇÃO DO CARDÁPIO,Promoters
9,Ficou muito melhor para nós realizarmos a licitação e a prestação de contas.,Promoters
10,estou sendo muito bem assessorada pelo pessoal,Promoters
9,Facilidade e agilidade para inserção dos dados e pronto atendimento. O atendimento por telefone é 10. Pessoas super atenciosas.,Promoters
10,,Promoters
10,agilidade e praticidade,Promoters
2,,Detractors
10,Ajuda na organização do processo da merenda em todos os aspectos,Promoters
9,,Promoters
8,,Passives
9,O sistema é muito bom!,Promoters
10,ajuda muito.,Promoters
9,MUITO ÁGIL,Promoters
10,"O sistema nos possibilita organização, praticidade, planejamento e eficacia.",Promoters
9,praticidade,Promoters
7,É porque o sistema ainda nãoatende 100% da demanda de trabalho.,Passives
5,,Detractors
10,Justifica pelo excelente atendimento,Promoters
6,,Detractors
10,"Nos da suporte, facilitando nossas prestações de contas.",Promoters
10,,Promoters
10,agilidade,Promoters
8,,Passives
9,SISTEMA DE FÁCIL ENTENDIMENTO,Promoters
9,muito boa a pagina.,Promoters
9,,Promoters
10,Pela praticidade!,Promoters
8,,Passives
9,muito bom,Promoters
10,facilitou varias etapas do processo licitatorio,Promoters
7,,Passives
9,,Promoters
8,,Passives
9,acho sistema execelente,Promoters
7,"muitas mudança e nos nas escola somos os últimos a saber, o preço referencia devianser referenciae nao preços oficiais",Passives
10,este programa facilitou a vida dos secretários de escola. Parabéns,Promoters
8,e eficiente,Passives
10,Muito bom,Promoters
9,Sistema está muito bom.,Promoters
10,1,Promoters
8,,Passives
8,...,Passives
10,Muito prático,Promoters
10,"Agilidade, competencia,bom atendimento e facilidade para desenvolver o trabalho no sistema.",Promoters
10,Equipe está sempre de prontidão para atender e auxiliar na resolução dos problemas.,Promoters
9,auxilia e muito o nosso trabalho,Promoters
7,,Passives
10,O fácil acesso ao sistema. o pronto atendimento as duvidas.,Promoters
6,a,Detractors
8,O sistema fácil de ser usado. único problema que ainda é lendo em algumas situações.,Passives
4,é bom,Detractors
10,a funcionalidade do sistema,Promoters
9,b,Promoters
10,"Sistema excelente, pratico tem facilitado muito, o desempenho da atividade",Promoters
10,pela praticidade do programa.,Promoters
10,,Promoters
10,Agilidade,Promoters
8,,Passives
8,está melhorando,Passives
9,..,Promoters
9,,Promoters
8,sempre que precisamos tivemos um bom atendimento,Passives
7,,Passives
10,EXCELENCIA NO ATENDIMENTO,Promoters
9,,Promoters
8,,Passives
8,Pela facilidade no acesso do mesmo.,Passives
10,excelencia,Promoters
10,,Promoters
8,kl,Passives
8,Fácil acesso,Passives
1,lllllllll,Detractors
8,Ainda faltam alguns quesitos para ficar excelente,Passives
9,Praticidade na execução,Promoters
9,...,Promoters
8,POR QUE E UMA FERRAMENTA QUE NOS AUXILIA MUITO NA ANALISE DA PRESTAÇÃO DE CONTAS.,Passives
7,,Passives
10,"facilitador, desburocratizador",Promoters
10,,Promoters
9,,Promoters
10,Atendimento rápido e eficiente.,Promoters
8,Seria ótimo incluir a Prestação de Contas com todos os formulários.,Passives
9,,Promoters
8,,Passives
10,Atendimento com qualidade e de fácil acesso.,Promoters
10,,Promoters
9,,Promoters
8,"o sistema é bom, porém ainda tem que aprimorar.",Passives
8,so falta cair menos,Passives
8,,Passives
9,programa eficiente,Promoters
10,"pela rapidez em informações
 bom atendimento
 e rápida nas soluções em problemas tecnicosque acontecem no sistema",Promoters
10,Ok,Promoters
10,,Promoters
9,,Promoters
6,Houve mudanças no site. Para ensinar os usuários apenas um tutorial. Fazemos contato e solicitamos auxilio mas não houve retorno.,Detractors
6,Praticidade,Detractors
10,,Promoters
8,Agilidade nas licitações e prestações de contas.,Passives
10,Não consigo fazer os despachos e acompanhar os contratos notas fiscais sem ter que ficar fazendo o caminho novamente para acessas a escola.,Promoters
8,,Passives
8,"Poderia constar mais alguns dados e fazer cruzamento dos mesmos, ajudando na conferencia da prestação de contas. O sistema constantemente sai fora do ar.",Passives
6,,Detractors
9,"Faltam algumas adequações na lista dos produtos a serem comprados, no anexo I e anexo II; faltam relatórios.Outra coisa, como recebemos os pareceres via sistema, poderíamos responder esses pareceres no mesmo sistema, sem precisar usar o e-mail.",Promoters
6,,Detractors
8,Pela praticidade no desenvolvimento do nosso trabalho em relação SED x escola.,Passives
10,,Promoters
4,prático,Detractors
10,muito bom.,Promoters
10,,Promoters
9,,Promoters
9,Muito bom o sistema,Promoters
9,o Programa é muito eficiente.,Promoters
9,,Promoters
9,PRATICIDADE,Promoters
10,,Promoters
8,Bom atendimento,Passives
9,AGILIDADE NOS CONTATOS,Promoters
9,,Promoters
4,prestação de contas,Detractors
9,atendimento e funcionalidade.,Promoters
10,ok,Promoters
7,sim ajuda e muito principalmente no cardapio e nos calculos matematicos que nao deixa ter erros.,Passives
8,prático,Passives
8,O programa tem auxiliado enormemente em todo processo da merenda escolar.,Passives
10,muito bom,Promoters
8,não sei,Passives
5,,Detractors
8,Atendimento prestativo e esclarecedor.,Passives
9,,Promoters
9,Transparencia.,Promoters
10,Facilita muito (na verdade realiza) o trabalho burocrático para a unidade escolar.,Promoters
10,o programa é muito bom,Promoters
8,PELA PRESTEZA DO SERVIÇO E AGILIDADE EM NOS ATENDER.,Passives
9,praticidade e agilidade,Promoters
9,praticidade,Promoters
9,,Promoters
8,,Passives
9,sistema muito eficiente.,Promoters
9,FACILITOU MUITO NOSSO TRABALHO DIMINUINDO A MARGEM DE ERROS.,Promoters
10,,Promoters
10,Facilidade na elaboração dos cardápios.,Promoters
10,muito bom o programa,Promoters
8,"Muito prático, está tudo pronto, é só inserir os dados.",Passives
10,excelente,Promoters
9,"Estou aprendendo e é uma satisfação boa pelo desempenho, dedicação, coerência de forma clara e objetiva.",Promoters
7,falicitou o nosso trabalho pois tem dicas muito boa e opções de cardápio,Passives
10,d,Promoters
6,porque o sistema muda cada vez pra pior dificultando o acesso.,Detractors
3,Facilidades na execução.,Detractors
10,,Promoters
6,,Detractors
7,...,Passives
10,Muito prático,Promoters
10,Agilidade e transparência!,Promoters
10,PELA PRATICIDADE DOS RECURSOS DISPONÍVEIS,Promoters
10,por facilitar todo trabalho,Promoters
9,,Promoters
10,Fase de adaptação!,Promoters
6,o PROGRAM É BOM,Detractors
8,,Passives
9,Ótimo,Promoters
9,,Promoters
10,para contribuir na pesquisa,Promoters
7,Pelo suporte PRESTADO DURANTE A EXECUÇÃO DO PROCESSO DE COMPRAS E PRESTAÇÃO DE CONTAS.,Passives
10,bom,Promoters
9,melhor rapidez na elaboração do cardápio,Promoters
9,"Acho bom o sistema porém poderia ser melhor , evitar papel na prestação de contas.",Promoters
8,,Passives
9,.,Promoters
9,,Promoters
8,,Passives
8,,Passives
8,,Passives
6,"Competência, organização",Detractors
10,Atendimento rápido e eficiente,Promoters
10,"Como somos uma creche, temos algumas especificidades que não são contempladas no cardápio, isso dificulta na hora do planejamento.",Promoters
7,Tem contribuído na execução e prestações de contas.,Passives
8,Pela organização,Passives
8,PRATICIDADE,Passives
10,Pela organização,Promoters
8,O sistema agiliza o nosso trabalho.,Passives
10,,Promoters
9,,Promoters
10,as opcões para a escola integral poderia sermais diversificadas.,Promoters
7,praticidade,Passives
10,PELO FATO DO MANUSEIO DO SISTEMA ÁGIL E SIMPLIFICADO. PARABÉNS!!!!,Promoters
9,Fácil acesso e objetividade.,Promoters
10,Facilita muito o trabalho.,Promoters
10,Sempre que precisamos vcs nos orientaram no que foi preciso. Parabéns!!,Promoters
10,Pela praticidade.,Promoters
10,nenhuma,Promoters
5,,Detractors
9,"O programa é bom porém, ainda um pouco complexo. Deveria ser mais simples e ágil. Ex; No dia em que vamos servir o carreteiro, ele já deveria vir acompanhado da mandioca, do feijão, do ovo frito e do suco etc. Entenderam? É só Clicar...",Promoters
8,,Passives
8,Por ser uma ferramenta de grande ajuda nas prestações de contas.,Passives
9,Satisfação com o programa.,Promoters
8,prático,Passives
10,,Promoters
10,,Promoters
8,"Contribui,agiliza nosso serviço!",Passives
10,,Promoters
5,AINDA EXISTEM MELHORIAS A SEREM FEITAS.,Detractors
9,AGILIZA O SERVIÇO.,Promoters
9,"Apesar de se um sistema de excelência, ainda temos dificuldades em alguns pontos.",Promoters
9,,Promoters
8,,Passives
8,o atendimento é de excelencia,Passives
8,,Passives
10,Excelente programa,Promoters
10,muito bom o serviço prestado pela empresa,Promoters
9,,Promoters
10,PELA PRATICIDADE,Promoters
10,É A PRATICIDADE NA REALIZAÇÃO DA CHAMADA PÚBLICA E A CARTA CONVITE.,Promoters
8,SE estiver um tutorial sempre e bem vindo.,Passives
8,Facilita na preparação da Chamada Pública e as licitações.,Passives
8,,Passives
9,o sistema é muito prático e facilita bastante a aquisição da merenda escolar.,Promoters
10,,Promoters
10,Atendimento de qualidade.,Promoters
3,,Detractors
10,Agilidade e Precisão,Promoters
8,"ainda a o que fazer para tornar o processo mais rapido, ex. qdo insere as qtdes. entre outros.",Passives
8,Ainda encontramos dificuldades,Passives
7,Sistema de dificil entendimento,Passives
10,excelente programa para o gestor escolar.,Promoters
9,Tem quase todas as minhas sugestões de melhorias.,Promoters
10,Praticidade,Promoters
10,com o sistema ficou muito mais facil de fazer a licitação e prestação de conta,Promoters
9,Quando não está em manutenção é excelente.,Promoters
8,,Passives
9,Apesar do pouco tempo que trabalho com esse programa me parece muito eficiente,Promoters
8,,Passives
9,"Atendimento rápido, educado e eficaz!!",Promoters
10,,Promoters
10,Praticidade a agilidade!,Promoters
10,Praticidade e agilidade!,Promoters
10,e muito bom,Promoters
8,bom,Passives
9,porque é de fácil manuseio. Sugiro que seja efetuado um encontro com todos os responsáveis que manuseiam o sistema para melhorar a qualidade dos nossos serviços.,Promoters
10,sistema excelente. pena q nossa internet é precária,Promoters
9,É um sistema que auxilia na elaboração do cardápio e no processo de licitação.,Promoters
7,,Passives
10,porque o sistema de vocês facilitou em muito para nós o processo licitatório,Promoters
8,ainda o acho complicado. aumentou o serviço.,Passives
7,,Passives
9,muito bom o programa,Promoters
1,tenho dificuldades todas as vezes que vou procurar algo... Teria que ter na tela assim que abrissemos todas as opções... Abrir várias janelas para encontrar o que precisamos...,Detractors
2,..,Detractors
7,~çç,Passives
8,,Passives
9,,Promoters
8,sistema pode melhorar ainda mais.,Passives
8,,Passives
9,"a praticidade de elaborara licitação, ja com cálculos , editais e contratos. gostaria de lembrar que o juridico pede o valor por extenso,nos contratos e no edital.",Promoters
8,,Passives
10,PROGRAMA DE GRANDE AJUDA,Promoters
7,BOM,Passives
9,,Promoters
9,,Promoters
10,programa eficiente,Promoters
8,,Passives
10,é muito prático pois tenho as opçõesde escolha de cardápio.,Promoters
10,Somos sempre muito bem atendidos e os problemas resolvidos.,Promoters
9,tem contribuído muito,Promoters
10,,Promoters
10,"Tem facilitado bastante, tanto a licitação quanto a prestação de contas",Promoters
9,,Promoters
8,,Passives
8,um Manual ajudaria muito! Obrigada!,Passives
8,"Gostaria que fosse disponibilizado as receitas com suas quantidades numa forma de apostila, assim ajudaria mais.",Passives
9,,Promoters
